Time,Angle
1,-119
36,-117
57,-115
78,-112
100,-110
121,-107
142,-105
164,-102
185,-101
206,-99
228,-98
249,-96
292,-95
398,-96
441,-97
484,-98
526,-99
548,-100
590,-101
633,-102
697,-103
804,-104
889,-105
974,-106
1060,-107
1102,-108
1166,-109
1188,-110
1209,-111
1230,-112
1273,-113
1294,-114
1316,-115
1337,-116
1380,-117
1401,-118
1444,-119
1529,-120
1593,-121
1678,-122
1700,-123
1721,-124
1742,-125
1764,-126
1785,-127
1806,-128
1828,-129
1849,-131
1870,-134
1892,-135
1913,-138
1934,-140
1956,-143
1977,-144
1998,-146
2020,-150
2041,-152
2062,-154
2084,-155
2105,-156
2126,-158
2148,-160
2169,-161
2190,-163
2212,-165
2233,-167
2254,-168
2276,-169
2297,-171
2318,-172
2340,-174
2361,-176
2382,-178
2404,-179
2425,179
2446,178
2468,177
2489,176
2510,174
2532,173
2574,172
2596,171
2638,170
2681,169
2702,168
2745,167
2788,166
2830,165
2852,164
2894,163
2980,162
3172,163
3449,162
3492,161
3534,160
3577,159
3598,158
3641,157
3662,156
3684,155
3726,154
3748,153
3769,151
3790,150
3812,148
3833,147
3854,145
3876,144
3897,143
3918,142
3961,141
4025,142
4068,143
4110,144
4132,145
4153,146
4174,147
4196,148
4217,149
4238,150
4281,151
4302,152
4324,153
4345,154
4366,155
4409,156
4430,157
4452,158
4494,159
4537,160
4622,161
4750,162
4814,163
4921,164
4942,165
4985,167
5006,168
5028,170
5049,171
5070,173
5092,175
5113,179
5134,-180
5156,-177
5177,-174
5198,-171
5220,-167
5241,-165
5262,-162
5284,-156
5305,-152
5326,-150
5348,-146
5369,-142
5390,-139
5412,-135
5433,-132
5454,-129
5476,-127
5497,-124
5518,-122
5540,-121
5561,-119
5582,-118
5604,-115
5646,-114
5668,-113
5710,-112
5774,-111
5902,-110
5945,-109
5966,-108
5988,-106
6030,-104
6052,-102
6073,-100
6094,-98
6116,-96
6137,-93
6158,-91
6180,-88
6201,-87
6222,-85
6244,-82
6265,-80
6286,-79
6308,-77
6329,-75
6350,-74
6372,-72
6393,-71
6414,-68
6436,-66
6457,-64
6500,-62
6521,-60
6542,-59
6564,-57
6585,-56
6606,-54
6628,-53
6649,-52
6670,-51
6692,-50
6734,-48
6777,-47
6798,-46
6820,-45
6884,-44
6905,-43
6948,-42
7033,-41
7161,-42
7182,-43
7225,-44
7289,-45
7374,-44
7481,-43
7950,-44
7972,-43
7993,-44
8036,-43
8120,-42
8164,-41
8184,-40
8228,-39
8249,-37
8270,-36
8292,-35
8313,-32
8334,-29
8356,-25
8377,-23
8398,-20
8420,-17
8441,-13
8462,-10
8484,-9
8505,-6
8526,-1
8548,1
8569,2
8590,4
8612,6
8633,8
8654,10
8676,12
8697,13
8718,15
8740,16
8761,17
8804,18
8846,19
8996,18
9017,17
9060,16
9102,15
9124,14
9145,13
9166,11
9188,10
9209,8
9230,6
9252,5
9273,2
9294,-1
9316,-5
9337,-9
9358,-13
9380,-16
9401,-20
9422,-23
9444,-25
9465,-28
9486,-32
9508,-34
9529,-35
9550,-36
9572,-38
9593,-39
9614,-40
9657,-42
9700,-43
9785,-44
9934,-45
9998,-46
10105,-47
10148,-48
10233,-49
10297,-48
10446,-49
10510,-48
11769,-47
11833,-46
11897,-45
12046,-46
12388,-47
12644,-46
12686,-47
12878,-48
12942,-49
12985,-50
13006,-51
13028,-53
13070,-54
13092,-55
13113,-56
13134,-57
13156,-58
13177,-59
13198,-60
13241,-61
13262,-62
13305,-63
13326,-64
13348,-65
13369,-67
13390,-68
13412,-70
13433,-71
13454,-72
13476,-73
13497,-75
13518,-76
13540,-77
13561,-78
13582,-79
13604,-80
13646,-81
13668,-82
13689,-84
13732,-86
13753,-87
13774,-88
13796,-90
13838,-92
13860,-93
13881,-95
13924,-96
13945,-97
13966,-98
13988,-99
14009,-100
14030,-101
14201,-102
14265,-103
14308,-104
14350,-105
14713,-104
14798,-103
14820,-102
14862,-101
14905,-100
14926,-99
14948,-98
14990,-97
15012,-96
15033,-95
15161,-94
15246,-93
15374,-94
15417,-95
15460,-96
15481,-97
15545,-98
15844,-97
15886,-96
15929,-95
15950,-94
15972,-93
15993,-92
16036,-90
16057,-88
16078,-86
16100,-83
16121,-81
16141,-78
16164,-76
16185,-73
16205,-72
16228,-69
16249,-67
16269,-65
16292,-63
16313,-61
16333,-59
16356,-57
16377,-55
16420,-53
16441,-52
16462,-51
16612,-52
16676,-53
17209,-52
17273,-51
17316,-50
17337,-49
17401,-48
17422,-47
17486,-46
17550,-45
17593,-44
17657,-43
17870,-44
17934,-45
17977,-46
18041,-47
18084,-48
18148,-49
18212,-50
18297,-51
18361,-52
18382,-53
18425,-54
18446,-55
18468,-56
18489,-57
18510,-58
18532,-59
18553,-61
18574,-62
18596,-63
18617,-64
18638,-66
18660,-68
18681,-70
18702,-71
18724,-75
18745,-77
18766,-81
18788,-82
18809,-85
18830,-89
18852,-93
18873,-96
18894,-100
18916,-104
18937,-107
18958,-111
18980,-113
19001,-117
19022,-121
19044,-127
19065,-129
19086,-133
19108,-137
19129,-141
19150,-145
19172,-148
19193,-154
19214,-158
19236,-162
19257,-163
19278,-167
19300,-170
19321,-174
19342,-177
19364,-180
19385,177
19406,174
19428,171
19449,170
19470,168
19492,166
19513,164
19534,162
19577,161
19598,160
19662,159
19726,160
19790,161
19812,162
19833,163
19854,165
19876,167
19897,170
19918,172
19940,174
19961,178
19982,-178
20004,-171
20025,-168
20046,-163
20068,-158
20089,-153
20110,-149
20132,-146
20153,-142
20174,-137
20196,-134
20217,-133
20238,-131
20260,-130
20281,-128
20324,-127
20388,-128
20430,-129
20452,-130
20473,-131
20494,-132
20516,-134
20537,-135
20558,-136
20580,-137
20622,-138
20644,-139
20665,-140
20686,-141
20708,-142
20729,-143
20750,-145
20772,-146
20793,-147
20814,-150
20836,-152
20857,-154
20878,-156
20900,-157
20921,-159
20942,-161
20964,-162
20985,-163
21006,-164
21028,-165
21049,-166
21070,-167
21092,-168
21113,-169
21134,-170
21156,-172
21177,-173
21198,-175
21220,-176
21241,-178
21262,-179
21284,180
21305,177
21326,176
21348,174
21369,173
21390,171
21412,169
21433,167
21454,165
21476,163
21497,162
21518,160
21540,158
21561,157
21582,156
21604,154
21625,151
21646,150
21668,148
21689,146
21710,144
21732,141
21753,140
21774,138
21796,134
21817,132
21838,131
21860,129
21881,126
21902,124
21924,122
21945,121
21966,117
21988,114
22009,112
22030,109
22052,107
22073,105
22094,102
22116,98
22137,95
22158,92
22180,88
22201,85
22222,83
22244,80
22265,77
22286,74
22308,73
22329,71
22350,69
22372,68
22393,66
22436,64
22457,63
22478,62
22521,61
22564,60
22670,59
22713,58
22756,57
22777,55
22820,54
22841,53
22862,52
22884,51
23033,52
23076,53
23140,54
23161,55
23204,57
23225,58
23246,60
23268,62
23289,64
23310,66
23332,68
23353,70
23374,71
23396,74
23417,78
23438,81
23460,83
23481,88
23502,92
23524,96
23545,101
23566,104
23588,111
23609,116
23630,120
23652,122
23673,126
23694,130
23716,133
23737,138
23758,139
23780,141
23801,143
23822,144
23844,145
23886,146
23908,147
23950,148
24014,149
24057,150
24121,151
24185,152
24228,153
24270,154
24313,155
24356,156
24398,157
24441,158
24462,159
24484,160
24526,161
24548,162
24590,163
24633,164
24676,165
24718,166
24761,167
24804,168
24846,169
24868,170
24910,171
24932,172
24974,173
25038,174
25102,175
25209,174
25294,173
25337,172
25358,171
25422,170
25486,169
25529,168
25550,167
25636,166
25870,167
25977,166
25998,167
26020,166
26169,167
26233,168
26297,169
26340,170
26404,171
26660,172
26958,173
27769,174
27918,175
27961,176
27982,177
28004,179
28025,-178
28046,-177
28068,-174
28089,-171
28110,-168
28132,-163
28153,-162
28174,-159
28196,-156
28217,-154
28238,-152
28260,-151
28281,-149
28366,-150
28388,-152
28409,-155
28430,-159
28452,-163
28473,-166
28494,-170
28516,-174
28537,-175
28558,-177
28580,-179
28601,179
28644,178
28729,179
29049,178
29262,177
29348,176
29390,175
29433,174
29454,173
29518,172
29582,171
29646,170
29796,169
29945,168
30052,167
30500,166
30585,167
30756,168
30948,167
31076,168
31225,169
31289,170
31353,171
31374,172
31417,173
31438,174
31460,176
31481,179
31502,-180
31524,-175
31545,-171
31566,-167
31588,-165
31609,-161
31630,-157
31652,-152
31673,-149
31694,-145
31716,-142
31737,-139
31758,-136
31780,-135
31801,-133
31822,-131
31844,-128
31886,-126
31929,-125
31950,-124
31993,-123
32013,-122
32035,-121
32078,-120
32099,-119
32184,-118
32248,-117
32312,-116
32376,-115
32419,-114
32504,-113
32590,-112
32868,-113
33188,-114
33294,-115
33401,-116
33849,-117
34148,-116
