Time,Angle
1,22
33,21
75,20
97,19
118,18
139,17
161,16
203,15
225,14
246,13
267,12
289,11
310,10
353,9
374,8
395,7
417,5
438,4
459,2
481,1
502,0
545,-1
566,-2
587,-3
673,-4
843,-3
929,-2
1013,-1
1121,-0
1249,1
1377,2
1569,3
1654,4
1739,5
1910,6
2187,7
2209,6
2230,7
2614,8
3062,7
3211,6
3361,5
3723,6
4022,5
4235,4
4406,3
4491,2
4534,1
4598,-0
4641,-1
4683,-2
4726,-3
4769,-4
4811,-5
4833,-6
4854,-7
4875,-8
4918,-9
4939,-10
4961,-11
4982,-13
5003,-14
5046,-16
5067,-17
5089,-18
5110,-19
5131,-20
5153,-22
5174,-23
5195,-24
5217,-25
5238,-26
5259,-27
5281,-29
5302,-30
5323,-31
5345,-32
5366,-33
5387,-34
5430,-35
5451,-37
5494,-38
5515,-39
5558,-40
5601,-41
5665,-40
5707,-39
5729,-37
5750,-35
5771,-34
5793,-32
5814,-31
5835,-30
5857,-29
5878,-28
5899,-27
5942,-26
6027,-27
6091,-28
6134,-29
6177,-30
6241,-31
6305,-32
6326,-33
6390,-34
6411,-35
6433,-36
6454,-37
6475,-38
6497,-39
6518,-40
6539,-41
6561,-42
6582,-43
6603,-45
6646,-46
6667,-47
6710,-48
6859,-47
6881,-46
6923,-45
6945,-44
6966,-43
6987,-42
7009,-41
7030,-40
7051,-39
7094,-38
7137,-37
7265,-38
7457,-39
7585,-40
7670,-41
7734,-42
7755,-43
7777,-44
7819,-45
7841,-46
7862,-47
7883,-48
7905,-49
7926,-50
7947,-51
7969,-52
8011,-53
8033,-54
8054,-56
8075,-57
8097,-58
8118,-59
8139,-60
8161,-62
8203,-64
8225,-66
8246,-67
8267,-68
8289,-70
8310,-72
8331,-73
8353,-75
8374,-77
8395,-78
8417,-79
8438,-81
8459,-82
8481,-83
8502,-85
8523,-86
8545,-87
8566,-89
8587,-90
8609,-91
8630,-92
8673,-93
8694,-94
8715,-95
8737,-96
8779,-97
8801,-98
8822,-99
8843,-100
8865,-102
8886,-103
8907,-104
8929,-106
8971,-108
8993,-109
9014,-111
9035,-112
9057,-114
9078,-115
9099,-116
9121,-117
9142,-118
9163,-119
9185,-121
9206,-122
9227,-123
9249,-124
9270,-125
9291,-127
9334,-128
9355,-130
9377,-131
9398,-132
9419,-133
9441,-134
9462,-135
9483,-136
9526,-137
9569,-138
9654,-139
9803,-138
9846,-137
9889,-136
9931,-135
9974,-134
10017,-133
10081,-132
10507,-133
10635,-134
10721,-135
10827,-136
10977,-137
11105,-138
11169,-139
11233,-140
11275,-141
11297,-142
11339,-143
11382,-144
11403,-145
11446,-146
11467,-147
11489,-148
11531,-149
11574,-150
11617,-151
11638,-152
11681,-153
11702,-154
11745,-155
11766,-156
11787,-157
11830,-158
11915,-159
11979,-160
12086,-161
12171,-162
12406,-161
12449,-160
12513,-159
12598,-158
12641,-157
12769,-156
12854,-155
12918,-154
12961,-153
13046,-152
13259,-151
13323,-150
13387,-149
13451,-148
13515,-147
13579,-146
13601,-145
13665,-144
13707,-143
13750,-142
13793,-141
13857,-140
13921,-139
13985,-138
14049,-137
14134,-136
14198,-135
14262,-134
14347,-133
14411,-132
14475,-131
14539,-130
14603,-129
14667,-128
14774,-127
14859,-126
14966,-125
15115,-124
15307,-123
15414,-122
15499,-121
15563,-120
15649,-119
15670,-118
15734,-117
15798,-116
16075,-115
16310,-116
16353,-117
16374,-118
16417,-119
16438,-120
16459,-121
16502,-122
16545,-123
16609,-124
16694,-123
16971,-122
17078,-121
17163,-120
17398,-119
17569,-118
17675,-117
17761,-116
17803,-115
17931,-114
17974,-115
18017,-114
18038,-115
18230,-116
18273,-115
18422,-114
18593,-113
18657,-112
18699,-111
18742,-110
18763,-109
18785,-108
18806,-107
18827,-106
