Time,Angle
1,116
36,115
398,116
548,117
612,118
676,119
740,120
846,121
932,122
1017,123
1081,124
1102,125
1124,127
1145,128
1166,132
1188,135
1209,139
1230,143
1252,145
1273,149
1294,152
1316,154
1337,157
1358,159
1380,160
1401,162
1422,163
1444,164
1465,165
1486,166
1508,167
1550,168
1572,169
1593,170
1636,171
1678,172
1700,173
1785,174
1849,175
1913,176
1956,177
1998,178
2020,179
2062,180
2084,-180
2105,-179
2340,-178
2425,-177
2446,-175
2468,-174
2489,-173
2510,-171
2532,-168
2553,-167
2574,-165
2596,-161
2617,-159
2638,-157
2660,-156
2681,-153
2702,-152
2724,-150
2745,-149
2766,-147
2788,-146
2809,-145
2830,-143
2852,-142
2873,-141
2894,-140
2916,-138
2937,-137
2958,-135
2980,-133
3001,-131
3022,-129
3044,-128
3065,-126
3086,-124
3108,-123
3129,-122
3150,-121
3172,-119
3193,-118
3214,-117
3236,-116
3257,-114
3278,-113
3300,-112
3321,-111
3342,-110
3364,-109
3385,-108
3406,-107
3428,-106
3470,-105
3513,-104
3577,-103
3662,-104
3684,-105
3705,-106
3726,-108
3748,-113
3769,-117
3790,-120
3812,-122
3833,-126
3854,-132
3876,-138
3897,-146
3918,-153
3940,-160
3961,-167
3982,-173
4004,-176
4025,-179
4046,178
4068,176
4281,175
4388,174
4430,173
4473,172
4516,170
4537,169
4558,168
4580,166
4601,165
4622,163
4644,162
4665,161
4686,160
4708,157
4729,155
4750,154
4772,151
4793,149
4814,146
4836,144
4857,142
4878,137
4900,133
4921,130
4942,128
4964,125
4985,122
5006,118
5028,115
5049,113
5070,110
5092,107
5113,105
5134,103
5156,101
5177,98
5198,93
5220,90
5241,89
5262,86
5284,83
5305,81
5326,79
5348,77
5369,74
5390,72
5412,71
5433,70
5454,69
5476,67
5497,66
5518,65
5540,63
5561,62
5582,60
5604,58
5646,57
5668,56
5689,54
5732,53
5774,52
5860,51
5902,50
5945,49
5966,48
5988,47
6030,46
6137,45
6180,44
6222,43
6393,44
6436,45
6478,46
6500,47
6521,48
6542,49
6564,50
6585,52
6606,54
6628,56
6649,58
6670,60
6692,63
6713,66
6734,69
6756,71
6777,74
6798,78
6820,82
6841,86
6862,88
6884,92
6905,97
6926,102
6948,108
6969,111
6990,119
7012,125
7033,130
7054,133
7076,138
7097,142
7118,146
7140,150
7161,153
7182,156
7204,158
7225,160
7246,161
7268,163
7289,164
7310,165
7332,166
7353,167
7374,168
7417,169
7438,170
7481,171
7502,172
7524,173
7566,174
7588,175
7822,174
7865,175
8334,176
8441,177
8569,178
8718,179
8761,178
8974,177
9038,176
9081,175
9102,174
9124,173
9166,172
9188,171
9209,170
9230,169
9273,168
9294,167
9358,166
9422,165
9550,164
9678,165
10041,166
10084,167
10126,168
10169,169
10190,170
10233,171
10254,172
10297,173
10340,174
10382,175
10425,176
10510,175
10532,174
10553,173
10574,172
10596,171
10617,169
10638,168
10660,167
10681,166
10702,165
10724,164
10745,163
10809,162
11022,163
11044,164
11065,165
11108,166
11129,167
11150,168
11172,169
11193,170
11214,171
11236,172
11257,173
11278,174
11300,175
11321,176
11342,177
11364,178
11385,179
11406,180
11428,-180
11449,-179
11470,-178
11513,-177
11534,-176
11684,-177
11748,-178
11833,-179
11918,-178
11940,-177
11961,-176
11982,-175
12004,-171
12025,-169
12046,-164
12068,-159
12089,-153
12110,-151
12132,-145
12153,-141
12174,-136
12196,-133
12217,-132
12238,-129
12260,-128
12281,-126
12302,-125
12324,-124
12345,-122
12366,-120
12388,-119
12409,-118
12430,-117
12452,-116
12473,-114
12494,-113
12516,-111
12537,-110
12580,-109
12772,-108
12900,-107
12985,-108
13113,-109
13433,-110
13732,-111
13945,-112
14158,-113
14393,-114
14670,-115
14777,-117
14820,-119
14841,-121
14862,-125
14884,-127
14905,-132
14926,-140
14948,-145
14969,-148
14990,-154
15012,-160
15033,-165
15054,-171
15076,-175
15097,-177
15118,180
15140,178
15161,176
15204,175
15225,173
15246,172
15289,171
15332,170
15417,169
15481,168
15524,167
15545,166
15588,164
15609,162
15630,159
15652,158
15673,153
15694,148
15716,142
15737,136
15758,130
15780,124
15801,119
15822,114
15844,111
15865,107
15886,102
15908,97
15929,96
15950,93
15972,90
15993,88
16014,86
16036,85
16057,83
16078,79
16100,77
16121,76
16141,74
16164,71
16185,69
16205,67
16228,65
16249,64
16269,62
16292,60
16333,58
16356,56
16377,54
16398,51
16420,50
16441,49
16462,48
16484,47
16505,46
16548,44
16590,43
16612,42
16654,41
16676,40
16740,39
16932,40
16974,41
17017,42
17038,43
17060,44
17102,45
17124,46
17145,47
17166,48
17209,49
17252,50
17294,51
17316,52
17337,53
17358,54
17401,55
17422,56
17444,58
17465,59
17486,61
17508,65
17529,72
17550,78
17572,82
17593,89
17614,97
17636,105
17657,109
17678,117
17700,129
17721,136
17742,142
17764,145
17785,152
17806,157
17828,162
17849,166
17870,170
17892,174
17913,177
17934,-180
17956,-178
17977,-175
17998,-173
18020,-169
18041,-168
18062,-166
18084,-163
18105,-160
18126,-158
18148,-157
18169,-153
18190,-150
18212,-148
18233,-147
18254,-146
18276,-144
18297,-143
18318,-141
18340,-140
18361,-139
18382,-138
18404,-137
18425,-136
18446,-135
18468,-134
18510,-133
18553,-132
18596,-131
18724,-130
18937,-131
18958,-132
18980,-135
19001,-137
19022,-141
19044,-145
19065,-150
19086,-152
19108,-157
19129,-162
19150,-168
19172,-171
19193,-172
19214,-174
19236,-176
19257,-178
19278,-179
19300,-180
19321,179
19342,178
19364,177
19385,176
19428,175
19470,174
19513,173
19598,172
19705,173
19769,174
19833,175
20004,176
20046,177
20089,178
20110,180
20132,-178
20153,-176
20174,-174
20196,-171
20217,-168
20238,-166
20260,-162
20281,-155
20302,-149
20324,-146
20345,-140
20366,-134
20388,-128
20409,-122
20430,-119
20452,-112
20473,-108
20494,-106
20516,-105
20537,-104
20558,-103
20900,-102
21326,-103
21369,-104
21412,-106
21433,-109
21454,-112
21476,-114
21497,-118
21518,-123
21540,-128
21561,-134
21582,-140
21604,-146
21625,-151
21646,-156
21668,-159
21689,-164
21710,-169
21732,-175
21753,179
21774,177
