Time,Angle
1,-66
57,-67
526,-68
654,-69
718,-70
761,-71
804,-72
846,-73
868,-74
889,-76
910,-77
932,-79
953,-80
974,-82
996,-84
1017,-86
1038,-87
1060,-88
1081,-89
1102,-90
1166,-91
1188,-92
1209,-93
1252,-94
1273,-96
1294,-97
1316,-98
1337,-100
1358,-101
1380,-103
1401,-105
1422,-106
1444,-108
1465,-110
1486,-113
1508,-115
1529,-118
1550,-121
1572,-123
1593,-126
1614,-127
1636,-130
1657,-133
1678,-135
1700,-136
1721,-138
1742,-140
1764,-141
1785,-142
1806,-143
1828,-144
1849,-145
1870,-147
1913,-148
1934,-150
1956,-151
1977,-153
1998,-154
2020,-156
2041,-158
2062,-160
2084,-161
2105,-164
2126,-166
2148,-169
2169,-172
2190,-173
2212,-175
2233,-177
2254,-179
2276,-180
2297,179
2318,177
2340,176
2361,175
2382,174
2510,175
2702,176
2788,177
2809,178
2852,179
2873,180
2894,-180
2916,-179
2937,-178
2980,-177
3001,-176
3044,-175
3065,-174
3086,-172
3108,-170
3129,-168
3150,-165
3172,-162
3193,-159
3214,-156
3236,-154
3257,-151
3278,-146
3300,-143
3321,-141
3342,-138
3364,-136
3385,-133
3406,-131
3428,-130
3449,-127
3470,-126
3492,-124
3513,-123
3534,-122
3556,-120
3577,-119
3598,-117
3620,-116
3641,-114
3662,-112
3684,-110
3705,-109
3726,-107
3748,-104
3769,-100
3790,-97
3812,-95
3833,-92
3854,-89
3876,-86
3897,-84
3918,-81
3940,-77
3961,-75
3982,-72
4004,-71
4025,-69
4046,-67
4068,-65
4089,-63
4110,-61
4132,-60
4153,-59
4174,-58
4196,-57
4238,-56
4281,-55
4345,-54
4409,-53
4430,-52
4494,-51
4516,-50
4558,-49
4622,-48
4644,-49
4686,-48
4708,-49
5006,-50
5070,-49
5113,-48
5134,-47
5177,-45
5198,-44
5220,-42
5241,-40
5262,-38
5284,-37
5305,-35
5326,-34
5348,-33
5369,-32
5390,-30
5412,-29
5433,-28
5454,-27
5476,-26
5497,-24
5518,-23
5540,-22
5561,-20
5582,-18
5604,-17
5625,-16
5646,-14
5668,-13
5689,-11
5710,-10
5732,-8
5753,-7
5774,-5
5796,-4
5817,-3
5838,-2
5860,-1
5881,0
5902,1
5924,2
5945,3
5966,4
5988,5
6030,6
6052,7
6073,8
6094,9
6116,10
6137,11
6158,12
6180,13
6201,14
6222,15
6244,16
6265,17
6286,18
6308,19
6329,20
6350,21
6372,22
6414,23
6457,24
6500,25
6521,26
6542,27
6564,28
6628,29
6649,30
6692,31
6734,32
6820,33
6884,32
6948,31
7012,30
7033,29
7097,28
7118,27
7182,26
7204,25
7246,24
7310,23
7332,22
7396,21
7438,20
7481,19
7524,18
7566,17
7588,16
7652,14
7694,13
7737,12
7758,11
7801,10
7822,9
7865,8
7886,7
7908,6
7950,5
7972,4
7993,3
8014,2
8036,1
8078,-0
8100,-1
8120,-2
8142,-3
8164,-4
8206,-5
8228,-6
8249,-7
8270,-8
8292,-10
8313,-11
8334,-12
8356,-14
8398,-16
8420,-17
8441,-19
8462,-21
8484,-22
8505,-24
8526,-26
8548,-28
8569,-29
8590,-31
8612,-34
8633,-36
8654,-37
8676,-39
8697,-41
8718,-43
8740,-45
8761,-46
8782,-50
8804,-53
8825,-55
8846,-57
8868,-59
8889,-63
8910,-66
8932,-71
8953,-72
8974,-76
8996,-79
9017,-83
9038,-87
9060,-88
9081,-92
9102,-97
9124,-99
9145,-101
9166,-104
9188,-107
9209,-109
9230,-111
9273,-113
9294,-114
9337,-115
9401,-116
9550,-117
9593,-118
9636,-119
9657,-121
9678,-123
9700,-126
9721,-127
9742,-131
9764,-135
9785,-138
9806,-140
9828,-144
9849,-148
9870,-152
9892,-156
9913,-161
9934,-164
9956,-168
9977,-172
9998,-173
10020,-177
10041,-179
10062,179
10084,177
10105,176
10126,175
10148,174
10169,173
10212,172
10340,171
10446,170
10681,169
11001,170
11300,171
11428,172
11492,173
11513,174
11534,175
11556,176
11577,177
11598,179
11641,-179
11662,-177
11684,-175
11705,-173
11726,-172
11748,-170
11769,-168
11790,-166
11833,-164
11854,-162
11876,-161
11897,-160
11918,-159
11940,-158
11961,-157
12004,-156
12025,-155
12068,-154
12110,-153
12260,-154
12324,-155
12473,-156
12537,-155
12644,-154
12708,-153
12793,-152
12921,-151
13006,-150
13028,-149
13070,-148
13092,-147
13134,-146
13177,-145
13241,-144
13305,-143
13348,-142
13412,-141
13625,-140
13774,-139
13924,-138
14009,-137
14073,-136
14116,-135
14137,-134
14158,-132
14180,-130
14201,-129
14222,-126
14244,-123
14265,-119
14286,-114
14308,-112
14329,-108
14350,-104
14372,-100
14393,-98
14414,-94
14436,-91
14457,-85
14478,-83
14500,-80
14521,-77
14542,-74
14564,-71
14585,-70
14606,-68
14628,-65
14649,-64
14670,-63
14692,-62
14713,-61
14734,-60
14777,-59
14798,-58
14820,-57
14862,-56
14905,-55
14926,-54
14948,-53
14990,-52
15033,-51
15076,-50
15118,-49
15182,-48
15246,-47
15289,-46
15353,-45
15417,-44
15524,-43
15758,-42
16078,-43
16141,-44
16249,-45
16548,-46
16569,-47
16633,-48
16676,-49
16718,-50
16761,-51
16825,-52
16868,-53
16889,-54
16932,-55
16974,-56
17017,-57
17038,-58
17081,-59
17124,-60
17145,-61
17188,-62
17230,-63
17273,-64
17316,-65
17380,-66
17465,-67
17678,-68
17700,-67
17998,-68
18084,-69
18148,-68
18169,-69
18190,-68
18297,-67
18425,-66
18596,-65
18724,-64
18809,-63
18873,-62
18980,-61
19129,-62
19150,-64
19193,-67
19214,-69
19236,-73
19257,-75
19278,-79
19300,-83
19321,-90
19342,-95
19364,-97
19385,-102
19406,-107
19428,-112
19449,-117
19470,-120
19492,-127
19513,-131
19534,-136
19556,-138
19577,-142
19598,-145
19620,-148
19641,-151
19662,-153
19684,-155
19705,-157
19726,-158
19769,-159
19790,-160
19876,-161
20046,-162
20132,-163
20196,-164
20260,-165
20302,-166
20324,-167
20366,-168
20430,-169
20473,-170
20580,-171
20644,-170
20686,-169
20729,-167
20750,-165
20772,-162
20793,-158
20814,-154
20836,-149
20857,-145
20878,-140
20900,-138
20921,-134
20942,-128
20964,-125
20985,-123
21006,-121
21028,-118
21049,-117
21070,-116
21092,-115
21113,-114
21134,-113
21156,-112
21177,-111
21198,-110
21220,-109
21241,-107
21262,-105
21284,-103
21305,-100
21326,-97
21348,-93
21369,-91
21390,-87
21412,-82
21433,-74
21454,-71
21476,-65
21497,-59
21518,-53
21540,-47
21561,-45
21582,-39
21604,-32
21625,-27
21646,-25
21668,-21
21689,-18
21710,-15
21732,-13
21753,-11
21774,-9
21796,-8
21817,-6
21838,-5
21860,-4
21881,-3
21902,-2
21924,-1
21966,0
21988,1
22030,2
22073,3
22116,4
22180,5
22414,4
22542,3
22734,4
22948,3
22990,2
23012,1
23033,0
23054,-2
23076,-3
23097,-4
23118,-5
23140,-6
23161,-8
23182,-9
23204,-10
23225,-13
23246,-15
23268,-16
23289,-17
23310,-19
23332,-20
23353,-22
23374,-23
23396,-24
23438,-25
23460,-26
23524,-27
23588,-28
