Time,Angle
1,-80
48,-79
69,-78
91,-77
112,-76
133,-75
155,-74
176,-73
197,-72
219,-70
240,-69
261,-68
304,-67
325,-66
347,-65
389,-64
560,-65
624,-66
688,-67
1179,-68
1285,-69
1691,-70
1776,-71
1840,-72
1883,-73
1925,-74
1947,-75
1968,-76
2010,-77
2053,-78
2117,-79
2245,-78
2416,-77
2437,-76
2501,-75
2523,-74
2544,-73
2587,-72
2608,-71
2629,-70
2651,-69
2672,-68
2715,-67
2736,-66
2800,-65
2885,-64
2928,-63
3077,-64
3120,-65
3163,-66
3184,-67
3205,-69
3227,-70
3248,-71
3269,-73
3291,-74
3312,-76
3355,-78
3376,-79
3397,-80
3419,-81
3461,-82
3504,-83
3525,-84
3547,-85
3568,-86
3589,-87
3611,-89
3632,-90
3653,-91
3675,-92
3696,-93
3717,-94
3739,-95
3760,-96
3803,-97
3909,-96
3995,-95
4079,-96
4229,-97
4443,-96
4507,-95
4549,-94
4848,-93
5040,-92
5317,-93
5403,-92
7109,-91
7237,-90
7323,-89
7515,-90
7557,-89
7621,-88
7643,-87
7685,-86
7707,-85
7728,-84
7771,-83
7792,-82
7984,-83
8048,-84
8304,-83
8389,-82
8411,-83
8539,-84
8603,-85
8731,-84
8773,-83
8987,-82
9051,-81
9093,-80
9221,-79
9648,-78
10032,-79
10501,-78
10864,-79
11141,-80
11269,-81
11312,-82
11355,-83
11376,-84
11397,-85
11419,-87
11461,-89
11483,-90
11504,-92
11525,-93
11547,-95
11568,-96
11589,-98
11611,-99
11632,-100
11653,-102
11675,-103
11696,-104
11717,-105
11739,-106
11760,-107
11781,-108
11824,-109
11845,-110
11909,-111
11952,-112
12016,-113
12379,-112
12507,-111
12549,-110
12571,-109
12613,-107
12635,-106
12656,-104
12699,-103
12720,-102
12741,-101
12763,-100
12784,-99
12805,-98
12848,-97
12912,-96
12955,-95
12976,-94
13019,-93
13083,-92
13189,-91
13360,-92
13872,-91
13936,-90
13957,-89
14000,-88
14043,-87
14085,-86
14107,-87
14128,-86
14192,-85
14256,-84
14299,-83
14341,-82
14427,-81
14491,-80
14619,-79
14704,-78
14768,-77
15088,-76
15237,-75
15365,-74
15408,-75
15429,-76
15472,-77
15493,-78
15536,-79
15557,-80
15621,-81
15707,-82
15984,-83
16155,-82
16176,-83
16197,-84
16347,-85
16368,-84
16389,-83
16453,-82
16496,-81
16517,-80
16539,-78
16560,-77
16581,-74
16603,-70
16624,-69
16645,-64
16667,-62
16688,-60
16709,-56
16731,-54
16752,-49
16773,-48
16795,-47
16816,-44
16837,-42
16859,-37
16880,-35
16901,-31
16923,-27
16944,-23
16965,-21
16987,-20
17008,-18
17029,-17
17051,-16
17072,-15
17115,-14
17157,-13
17221,-12
17307,-13
17328,-14
17349,-15
17371,-16
17392,-18
17435,-20
17456,-21
17477,-22
17499,-24
17520,-25
17563,-26
17584,-28
17605,-29
17627,-31
17669,-34
17691,-35
17712,-36
17733,-37
17755,-38
17776,-40
17797,-41
17819,-43
17840,-44
17861,-46
17883,-47
17904,-49
17947,-51
17968,-52
17989,-54
18011,-56
18032,-57
18053,-58
18075,-59
18096,-60
18117,-61
18139,-62
18160,-63
18181,-64
18203,-65
18224,-66
18288,-67
18309,-68
18331,-69
18352,-70
18373,-72
18416,-73
18437,-74
18459,-75
18480,-76
18523,-77
18544,-78
18587,-79
18629,-81
18651,-82
18672,-83
18715,-85
18736,-87
18757,-88
18779,-90
18800,-91
18843,-92
18864,-91
18949,-90
18992,-89
19056,-88
19120,-87
19141,-86
19227,-85
19291,-84
19333,-83
19397,-82
19419,-81
19440,-80
19483,-79
19504,-78
19547,-77
19589,-76
19632,-75
19675,-74
19781,-73
19803,-74
19888,-75
19931,-76
19995,-77
20059,-78
20101,-79
20144,-80
20187,-81
20229,-82
20251,-83
20272,-84
20315,-85
20336,-86
20357,-87
20379,-88
20400,-89
20443,-90
20464,-91
20528,-92
20571,-93
20592,-94
20677,-95
20891,-94
20933,-95
20997,-96
21061,-97
21125,-98
21232,-99
21339,-100
21403,-101
21424,-102
21488,-103
21531,-104
21573,-105
21595,-106
21637,-107
21808,-106
21872,-104
21915,-103
21936,-102
21957,-101
22000,-100
22021,-99
22064,-98
22128,-97
22213,-96
22299,-97
22555,-98
22640,-99
22683,-100
22747,-101
22789,-102
22853,-103
23088,-104
23216,-105
23323,-106
23429,-107
23493,-108
23515,-109
23536,-110
23579,-111
23621,-112
23664,-113
23771,-112
23835,-113
23920,-114
23984,-115
24219,-116
24240,-115
24261,-116
24453,-117
24581,-116
24688,-115
24752,-114
24859,-113
24923,-112
25157,-111
25328,-110
25691,-109
26011,-110
26032,-109
26053,-110
27291,-111
27333,-112
27376,-113
27397,-114
27440,-115
27461,-116
27504,-117
27525,-118
27589,-119
27696,-120
27739,-121
27824,-122
28165,-121
28208,-120
28229,-119
28272,-118
28293,-117
28315,-115
28336,-114
28357,-113
28379,-112
28400,-110
28443,-109
28464,-108
28485,-107
28528,-106
28571,-105
28741,-104
28827,-103
28869,-102
28933,-101
28976,-100
29061,-99
29339,-98
29659,-97
29851,-98
30000,-99
30192,-100
30405,-101
30704,-102
30789,-103
30939,-104
31003,-105
31067,-106
31131,-107
31237,-108
31301,-109
31344,-110
31429,-111
31664,-112
31749,-113
31835,-112
31877,-111
31920,-110
31963,-109
31984,-110
32004,-109
32111,-108
32132,-107
32175,-106
32196,-105
32219,-104
32239,-102
32260,-101
32282,-100
32303,-99
32324,-97
32367,-96
32388,-95
32431,-94
32709,-95
32795,-96
33051,-95
33349,-96
33392,-95
33541,-94
33605,-93
33669,-92
33947,-93
34331,-94
34523,-95
34565,-94
35269,-95
35440,-94
35632,-95
35973,-94
36123,-95
36869,-96
37360,-97
37467,-98
38021,-97
38192,-96
38341,-95
38491,-94
39301,-95
39600,-94
40048,-95
40155,-96
40325,-97
40645,-98
40795,-99
42779,-100
43504,-101
44080,-102
44827,-101
44933,-100
44976,-99
44997,-98
45040,-97
45061,-96
45104,-95
45317,-96
45381,-97
45467,-98
45701,-97
45744,-98
45829,-99
45872,-100
45936,-101
46128,-100
46235,-99
46533,-100
46661,-99
47344,-98
49840,-99
50203,-98
50224,-99
51717,-98
51760,-97
51781,-95
51803,-94
51824,-92
51845,-91
51867,-87
51888,-84
51909,-82
51931,-80
51952,-78
51973,-75
51995,-72
52016,-69
52037,-66
52059,-63
52080,-60
52101,-58
52123,-56
52144,-54
52165,-51
52187,-47
52208,-46
52229,-44
52251,-41
52272,-38
52293,-36
52315,-35
52336,-32
52357,-29
52379,-27
52400,-26
52421,-24
52443,-22
52464,-21
52485,-19
52507,-18
52528,-17
52571,-16
52656,-15
52784,-14
52848,-13
52891,-12
52933,-11
52997,-10
53040,-9
53125,-8
53232,-7
53296,-6
53488,-7
53787,-6
53851,-5
53957,-4
54064,-3
54171,-2
54235,-3
54341,-4
54619,-5
54725,-6
54789,-7
54832,-8
54875,-9
54917,-10
54939,-11
54960,-12
55109,-11
55152,-10
55216,-9
55259,-8
55301,-7
55323,-6
55365,-5
55387,-4
55429,-2
55472,-1
55515,-0
55579,1
55600,0
55728,-1
55835,-2
56091,-1
56176,-0
56304,1
56368,0
56453,-1
56496,-2
56560,-3
56581,-4
56645,-5
56859,-4
56923,-5
56987,-6
57093,-7
57264,-6
57349,-5
57392,-4
57456,-3
57499,-2
57541,-1
57627,-0
57733,-1
57989,-2
58480,-1
58608,-0
58736,1
58907,0
58992,-1
59013,-2
59056,-3
59120,-4
59184,-5
59291,-6
59397,-7
59525,-8
59611,-9
59653,-10
59696,-11
59760,-12
59781,-13
59803,-14
59824,-15
59867,-16
59909,-17
59931,-18
59973,-19
60037,-20
60101,-21
60251,-20
61360,-19
61403,-20
61445,-19
61787,-20
61936,-19
62683,-20
63024,-19
63131,-18
63195,-17
63280,-18
63365,-19
63493,-20
63685,-19
64560,-20
64603,-19
65349,-20
65371,-19
65435,-20
65456,-19
65477,-20
65797,-21
65883,-22
65947,-23
66032,-24
66075,-25
66096,-26
66117,-28
66139,-29
66160,-30
66181,-32
66203,-33
66224,-35
66245,-36
66267,-37
66288,-39
66309,-41
66352,-42
66373,-43
66395,-44
66416,-45
66459,-46
66501,-47
66565,-48
66608,-49
66651,-50
66693,-51
66736,-52
66779,-53
66800,-54
66864,-55
67184,-54
67397,-53
67419,-54
67504,-55
67547,-56
67568,-57
67589,-58
67611,-59
67632,-61
67653,-63
67675,-64
67696,-66
67717,-68
67739,-71
67760,-72
67781,-74
67803,-76
67824,-78
67845,-80
67867,-81
67888,-83
67909,-87
67931,-90
67952,-92
67973,-95
67995,-97
68016,-99
68037,-101
68059,-103
68080,-104
68101,-106
68123,-107
68144,-108
68165,-109
68187,-110
68208,-111
68229,-112
68251,-113
68272,-114
68336,-115
68357,-116
68379,-117
68400,-118
68421,-119
68443,-120
68464,-121
68485,-122
68507,-123
68528,-124
68571,-125
68635,-126
68699,-127
68720,-128
68741,-129
68784,-130
68912,-129
68997,-130
69040,-131
69083,-132
69125,-133
69168,-134
69211,-136
69232,-137
69253,-139
69275,-141
69296,-142
69317,-143
69339,-146
69360,-149
69381,-151
69403,-152
69424,-154
69445,-156
69467,-158
69488,-159
69509,-161
69531,-164
69552,-165
69573,-167
69595,-168
69616,-169
69637,-170
69659,-172
69680,-173
69701,-174
69723,-175
69744,-176
69787,-177
69829,-178
69851,-179
69915,-180
69936,180
69957,179
70000,178
70021,177
70043,176
70107,175
70171,176
70213,177
70235,178
70256,179
70277,-179
70299,-177
70320,-174
70341,-171
70363,-169
70384,-167
70405,-164
70427,-162
70448,-161
70469,-158
70491,-155
70512,-153
70533,-152
70555,-150
70576,-149
70597,-147
70619,-145
70661,-143
70683,-142
70704,-141
70725,-140
70747,-139
70789,-138
70853,-137
70917,-136
70981,-135
71045,-134
71152,-133
71237,-134
71259,-133
71280,-134
71429,-133
71493,-132
71557,-131
71707,-130
71771,-129
71813,-128
71856,-127
71899,-126
71920,-125
71941,-124
71963,-123
71984,-121
72005,-120
72027,-118
72048,-117
72133,-118
72176,-120
72197,-121
72219,-122
72240,-123
72304,-124
72389,-125
72411,-126
72432,-127
72453,-129
72475,-130
72496,-131
72517,-133
72539,-135
72560,-136
72581,-139
72603,-146
72624,-154
72645,-159
72667,-169
72688,-180
72709,165
72731,149
72752,139
72773,120
72795,109
72816,102
72837,100
72859,94
72880,90
72901,86
72923,83
72944,80
72965,76
72987,73
73008,67
73029,63
73051,58
73072,51
73093,36
73115,30
73136,18
73157,7
73179,-2
73200,-8
73221,-11
73243,-16
73264,-22
73285,-24
73349,-23
73392,-22
73435,-23
73477,-24
73520,-25
73541,-26
73584,-27
73605,-28
73648,-29
73669,-30
73712,-31
73776,-32
73819,-33
73904,-34
73989,-35
74053,-36
74139,-37
74224,-38
74245,-37
74267,-38
74331,-39
74373,-40
74395,-41
74416,-42
74459,-43
74480,-44
74501,-45
74544,-46
74565,-47
74587,-48
74629,-49
74736,-50
75013,-49
75056,-48
75099,-47
75163,-46
75269,-47
75312,-48
75355,-49
75376,-51
75397,-53
75440,-55
75461,-57
75483,-59
75504,-61
75525,-63
75547,-64
75568,-66
75589,-68
75632,-69
75653,-70
75696,-71
75717,-72
75760,-73
75824,-74
75845,-75
75888,-76
75931,-77
75952,-78
75973,-79
76037,-80
76144,-79
76208,-78
76251,-77
76336,-76
76421,-75
76485,-74
76528,-73
76571,-72
76613,-71
76720,-72
76827,-73
76933,-74
77104,-75
77317,-76
77616,-75
78021,-74
79024,-75
79109,-74
79173,-75
80091,-74
80176,-73
80432,-72
80475,-71
80517,-70
80560,-68
80603,-67
80624,-66
80645,-64
80667,-63
80688,-60
80709,-56
80731,-53
80752,-50
80773,-49
80795,-46
80816,-44
80837,-43
80859,-42
80880,-40
80901,-39
80923,-38
81008,-39
81072,-40
81115,-41
81179,-42
81221,-43
81328,-44
81477,-45
81648,-46
81883,-47
82032,-48
82181,-49
82224,-50
82267,-51
82288,-52
82331,-54
82352,-55
82373,-56
82395,-57
82416,-58
82437,-60
82459,-61
82480,-63
82501,-65
82523,-67
82544,-69
82565,-71
82587,-72
82608,-74
82629,-77
82651,-79
82672,-82
82693,-86
82715,-87
82736,-89
82757,-91
82779,-92
82800,-94
82821,-96
82843,-98
82885,-99
82907,-100
82949,-101
82992,-102
83099,-103
83141,-102
83227,-101
83291,-100
83333,-99
83419,-98
83547,-97
83568,-98
83653,-97
83696,-96
83760,-95
83803,-94
83845,-93
83931,-92
83952,-93
84037,-92
84101,-91
84144,-90
84165,-89
84208,-88
84251,-87
84293,-86
84315,-85
84357,-84
84400,-83
84421,-82
84485,-81
84549,-80
84699,-79
84763,-78
84827,-77
84912,-76
84997,-75
85232,-76
85339,-75
85552,-74
85659,-73
85787,-72
85851,-71
85893,-70
86000,-69
86128,-70
86256,-71
86427,-70
86469,-69
86533,-68
86597,-67
86683,-66
86747,-65
86896,-64
86981,-63
87024,-62
87088,-61
87131,-60
87195,-59
87259,-58
87387,-57
87664,-58
87728,-59
87771,-60
87813,-61
87877,-62
88005,-63
88069,-64
88112,-65
88176,-66
88368,-67
88475,-68
88517,-69
88560,-70
88581,-71
88603,-72
88624,-73
88645,-74
88688,-75
88709,-76
88731,-77
88752,-78
88795,-79
88816,-81
88837,-82
88859,-83
88901,-85
88923,-86
88944,-87
88987,-88
89008,-89
89029,-90
89051,-91
89093,-92
89115,-93
89179,-94
89243,-95
89456,-96
89563,-97
89669,-98
89797,-99
89904,-100
89968,-101
90075,-102
90501,-101
90800,-102
91013,-103
91184,-104
91333,-105
91355,-104
91568,-103
91632,-102
91739,-101
91952,-100
92059,-99
92144,-98
92208,-97
92272,-96
92336,-95
92443,-94
92549,-93
92805,-92
92869,-91
92933,-90
92997,-89
93040,-88
93211,-87
93573,-88
93701,-87
93765,-86
93872,-85
93936,-86
94149,-85
94192,-84
94277,-83
94341,-82
94427,-81
94533,-82
94640,-83
94789,-84
95003,-85
95131,-86
95152,-85
95344,-86
95429,-87
95451,-88
95515,-89
95685,-88
95707,-89
95835,-90
95984,-89
96091,-88
96475,-87
96709,-88
96773,-89
96837,-90
96923,-91
97072,-92
97328,-93
97435,-94
97755,-95
97819,-96
97883,-97
98544,-96
98971,-95
99163,-94
99248,-95
99632,-94
99781,-93
99888,-92
99973,-91
100016,-92
100357,-91
100592,-90
100848,-91
100891,-90
101019,-91
101232,-90
101467,-91
101659,-92
102000,-91
102405,-92
102512,-91
102555,-92
102640,-91
103643,-92
103728,-91
104112,-90
104197,-89
104240,-88
104261,-87
104304,-86
104325,-84
104368,-82
104389,-80
104411,-78
104432,-77
104453,-75
104475,-73
104496,-71
104517,-69
104539,-67
104560,-65
104581,-63
104603,-62
104624,-61
104645,-59
104667,-57
104688,-56
104709,-54
104731,-53
104752,-52
104773,-51
104795,-50
104837,-49
104859,-48
104880,-47
104901,-46
104923,-45
104944,-44
104965,-43
104987,-42
105008,-41
105051,-40
105072,-39
105115,-38
105157,-37
105179,-36
105200,-35
105221,-34
105243,-33
105264,-32
105285,-30
105328,-28
105349,-27
105371,-26
105413,-25
105456,-24
105477,-23
105520,-22
105541,-21
105584,-20
105605,-19
105627,-18
105648,-17
105669,-16
105691,-15
105712,-14
105733,-13
105755,-12
105776,-11
105797,-10
105819,-9
105840,-8
105861,-7
105904,-6
106160,-7
106203,-8
106245,-9
106309,-10
106331,-11
106373,-12
106395,-13
106437,-14
106459,-15
106480,-16
106501,-17
106523,-18
106565,-19
106587,-20
106608,-21
106629,-22
106672,-23
106693,-24
106715,-25
106757,-26
106800,-27
106821,-28
106864,-29
106885,-30
106949,-31
106971,-32
107013,-33
107077,-34
107120,-35
107141,-36
107163,-37
107184,-38
107227,-39
107248,-40
107269,-41
107291,-42
107312,-43
107333,-44
107355,-45
107376,-46
107397,-47
107419,-48
107440,-49
107461,-51
107483,-52
107504,-53
107525,-54
107547,-55
107568,-56
107589,-57
107611,-58
107632,-60
107653,-61
107675,-62
107717,-63
107739,-64
107760,-65
107781,-66
107824,-67
107845,-68
107888,-69
107931,-70
107952,-71
108016,-72
108037,-73
108101,-74
108123,-75
108187,-76
108229,-77
108336,-78
108485,-79
108592,-80
108677,-81
108741,-82
108784,-83
108805,-84
108848,-85
108891,-86
108955,-87
109232,-86
109275,-87
109445,-88
109531,-89
109573,-90
109616,-91
109680,-92
109701,-93
109744,-94
109787,-95
109829,-96
109851,-97
109872,-98
109893,-99
109915,-101
109936,-102
109957,-103
109979,-104
110000,-106
110021,-108
110043,-110
110064,-111
110085,-113
110107,-114
110128,-116
110149,-117
110171,-118
110192,-120
110213,-122
110235,-123
110256,-124
110277,-125
110299,-126
110320,-127
110341,-128
110363,-129
110384,-130
110405,-131
110469,-132
110512,-133
110576,-134
110661,-135
110704,-136
110768,-137
110832,-138
110896,-139
111003,-140
111152,-139
111323,-138
111707,-139
111728,-138
112709,-137
112795,-135
112837,-134
112859,-132
112880,-131
112901,-129
112923,-128
112944,-126
112965,-123
112987,-121
113008,-119
113029,-118
113051,-116
113072,-114
113093,-112
113115,-110
113136,-108
113157,-106
113179,-105
113200,-104
113221,-103
113243,-102
113264,-101
113285,-100
113307,-99
113349,-98
113392,-97
113477,-96
113861,-97
113925,-96
114096,-97
114416,-96
114523,-95
114587,-94
114672,-93
114736,-92
114779,-91
114864,-90
114907,-89
114971,-88
115056,-87
115099,-86
115163,-85
115205,-84
115248,-83
115269,-82
115312,-81
115333,-80
115376,-79
115397,-77
115440,-76
115461,-74
115483,-73
115504,-72
115525,-71
115547,-69
115568,-67
115589,-66
115611,-65
115632,-63
115653,-62
115675,-60
115717,-58
115739,-57
115760,-56
115781,-55
115824,-54
116016,-55
116059,-56
116080,-57
116123,-59
116165,-61
116208,-63
116229,-64
116251,-65
116293,-66
116315,-68
116336,-69
116357,-70
116379,-71
116400,-72
116421,-73
116443,-74
116464,-75
116485,-76
116507,-77
116528,-78
116549,-79
116571,-80
116592,-81
116613,-82
116635,-83
116677,-85
116720,-86
116763,-87
116805,-88
116848,-89
117232,-90
117467,-91
117488,-90
117509,-91
117637,-92
117659,-93
117723,-94
117744,-95
117787,-96
117851,-97
118000,-96
118149,-97
118512,-96
118661,-95
118789,-94
118811,-95
118981,-94
119088,-93
119195,-92
119280,-91
119323,-90
119365,-89
119408,-88
119451,-87
119493,-86
119557,-85
119600,-84
119664,-83
119728,-82
119771,-81
119856,-80
120069,-79
120304,-80
120389,-81
120411,-82
120453,-83
120517,-84
120603,-85
120923,-86
121008,-87
121499,-88
121776,-89
122203,-88
122288,-87
122352,-86
122373,-84
122416,-82
122437,-80
122459,-79
122480,-78
122501,-76
122523,-73
122544,-71
122587,-69
122608,-68
122629,-67
122651,-66
122693,-65
122715,-64
122757,-63
122949,-64
123227,-63
123461,-64
123547,-65
123632,-66
123739,-67
123824,-68
123888,-69
123952,-70
124016,-71
124144,-72
124229,-73
124272,-74
124315,-75
124336,-76
124379,-77
124421,-78
124443,-79
124464,-81
124485,-82
124507,-83
124528,-85
124549,-86
