Time,Angle
1,-30
142,-29
718,-28
974,-27
1038,-28
1252,-29
1358,-30
1508,-29
1913,-28
1934,-27
1977,-26
1998,-25
2020,-23
2041,-21
2062,-20
2084,-18
2105,-16
2126,-14
2148,-12
2169,-10
2190,-7
2212,-5
2233,-3
2254,-2
2276,-1
2297,1
2318,3
2340,5
2382,6
2404,7
2425,8
2468,9
2489,10
2510,11
2553,12
2574,13
2596,14
2617,15
2638,17
2660,18
2681,20
2702,22
2724,25
2745,26
2766,29
2788,31
2809,34
2830,36
2852,38
2873,41
2894,43
2916,44
2937,45
2958,47
2980,49
3022,50
3086,49
3150,48
3172,47
3193,46
3257,45
3300,44
3342,43
3364,42
3385,41
3406,40
3428,39
3449,37
3470,35
3492,34
3534,33
3556,31
3577,30
3598,29
3620,28
3641,25
3662,23
3684,22
3705,21
3726,19
3748,17
3769,16
3790,15
3812,14
3833,13
3854,12
3876,11
3897,10
3918,9
3940,8
3961,5
3982,4
4004,1
4025,-2
4046,-4
4068,-7
4089,-9
4110,-11
4132,-15
4153,-17
4174,-18
4196,-19
4217,-21
4238,-23
4260,-24
4281,-26
4302,-28
4324,-30
4345,-31
4366,-32
4388,-34
4409,-36
4430,-38
4452,-40
4473,-43
4494,-45
4516,-48
4537,-51
4558,-53
4580,-56
4601,-61
4622,-65
4644,-66
4665,-69
4686,-72
4708,-75
4729,-77
4750,-78
4772,-81
4793,-83
4814,-85
4836,-86
4857,-88
4878,-89
4900,-91
4921,-92
4942,-93
4964,-95
4985,-96
5006,-98
5049,-100
5070,-101
5092,-103
5113,-105
5134,-106
5156,-108
5177,-110
5198,-112
5220,-113
5241,-116
5262,-119
5284,-121
5305,-123
5326,-124
5348,-126
5369,-128
5390,-129
5412,-131
5433,-132
5454,-133
5476,-134
5497,-136
5518,-137
5540,-138
5561,-139
5582,-142
5625,-144
5646,-145
5668,-147
5689,-148
5710,-149
5732,-151
5753,-153
5774,-155
5796,-156
5817,-158
5838,-160
5860,-162
5881,-163
5902,-165
5924,-167
5945,-170
5966,-172
5988,-173
6009,-175
6030,-176
6052,-178
6073,180
6094,179
6116,178
6137,176
6158,175
6180,174
6201,172
6222,170
6244,167
6265,166
6308,165
6329,164
6393,163
6542,164
6585,165
6606,166
6628,167
6649,169
6692,171
6713,173
6734,174
6756,175
6777,176
6798,177
6820,178
6841,179
6862,180
6884,-179
6905,-178
6926,-177
6948,-176
6969,-174
6990,-172
7012,-169
7033,-166
7054,-163
7076,-159
7097,-155
7118,-150
7140,-148
7161,-144
7182,-139
7204,-133
7225,-132
7246,-128
7268,-124
7289,-121
7310,-118
7332,-116
7353,-113
7374,-109
7396,-106
7417,-105
7438,-103
7460,-100
7481,-98
7502,-96
7524,-94
7545,-92
7566,-90
7588,-88
7609,-87
7630,-85
7652,-82
7673,-80
7694,-76
7716,-75
7737,-72
7758,-70
7780,-67
7801,-66
7822,-64
7844,-63
7865,-60
7886,-59
7908,-58
7929,-56
7950,-55
7972,-54
8014,-52
8056,-51
8078,-50
8100,-49
8142,-48
8164,-47
8184,-46
8206,-45
8228,-44
8270,-43
8313,-42
8356,-41
8441,-40
8526,-39
8612,-38
8633,-37
8654,-36
8676,-34
8697,-32
8718,-29
8740,-26
8761,-25
8782,-22
8804,-18
8825,-14
8846,-12
8868,-10
8889,-7
8910,-6
8932,-4
8953,-3
8974,-2
8996,-1
9017,0
9038,1
9060,2
9102,3
9188,2
9230,1
9273,-0
9294,-1
9316,-4
9337,-5
9358,-8
9380,-12
9401,-16
9422,-19
9444,-25
9465,-31
9486,-40
9508,-47
9529,-50
9550,-56
9572,-62
9593,-67
9614,-70
9636,-76
9657,-79
9678,-81
9700,-83
9742,-84
9764,-85
9806,-86
9828,-87
9870,-88
9913,-89
9977,-90
10084,-89
10148,-88
10212,-87
10233,-86
10254,-85
