Time,Angle
1,123
249,124
334,125
526,126
612,127
654,128
676,129
718,130
740,131
761,132
782,134
804,135
825,136
846,137
868,138
889,139
910,140
932,141
953,142
974,143
996,144
1017,145
1060,146
1081,147
1102,148
1124,149
1145,150
1166,151
1188,152
1209,153
1230,154
1252,155
1273,156
1294,157
1316,158
1337,159
1358,160
1401,161
1422,162
1486,163
1572,164
1636,165
1678,166
1721,167
1764,168
1785,169
1806,170
1849,171
1870,172
1913,174
1956,175
1977,176
2020,177
2062,178
2105,179
2148,180
2190,-180
2233,-179
2276,-178
2340,-177
2361,-176
2404,-175
2425,-174
2468,-173
2489,-172
2532,-171
2553,-170
2574,-169
2596,-168
2638,-166
2660,-165
2681,-164
2702,-163
2724,-160
2745,-158
2766,-156
2788,-153
2809,-152
2830,-150
2852,-147
2873,-145
2894,-142
2916,-139
2937,-137
2958,-134
2980,-133
3001,-132
3022,-130
3044,-127
3065,-125
3086,-124
3108,-123
3129,-121
3150,-119
3193,-117
3214,-115
3236,-114
3257,-113
3278,-112
3300,-111
3321,-110
3364,-109
3406,-108
3428,-107
3470,-106
3513,-105
3534,-104
3598,-103
3769,-104
3876,-105
3982,-106
4174,-107
4260,-108
4345,-109
4388,-110
4409,-111
4473,-112
4494,-113
4516,-114
4558,-115
4580,-117
4601,-118
4622,-119
4644,-120
4665,-123
4686,-125
4708,-126
4729,-128
4750,-131
4772,-134
4793,-136
4814,-138
4836,-142
4857,-145
4878,-149
4900,-150
4921,-154
4942,-157
4964,-160
4985,-163
5006,-166
5028,-169
5049,-171
5070,-173
5092,-174
5113,-176
5134,-178
5156,179
5198,177
5220,176
5241,175
5262,173
5305,172
5326,171
5348,170
5369,169
5390,168
5433,167
5454,166
5476,165
5497,164
5518,163
5540,161
5561,160
5582,159
5604,158
5625,156
5646,153
5668,152
5689,150
5710,148
5732,147
5753,145
5774,144
5796,143
5817,140
5838,139
5860,138
5881,137
5902,135
5924,133
5945,132
5966,130
5988,128
6009,126
6030,123
6052,122
6073,119
6094,117
6116,114
6137,111
6158,109
6180,106
6201,104
6222,101
6244,100
6265,98
6286,97
6308,94
6329,93
6350,92
6372,90
6393,88
6414,87
6436,86
6457,83
6478,80
6500,78
6521,77
6542,75
6564,73
6585,71
6606,70
6628,68
6649,66
6670,65
6692,63
6713,62
6734,61
6756,59
6777,57
6798,56
6820,55
6841,53
6862,52
6884,51
6905,49
6926,48
6948,47
6969,46
6990,45
7012,44
7033,43
7054,42
7076,41
7118,40
7140,39
7161,38
7204,36
7225,35
7246,34
7268,33
7289,32
7310,31
7332,30
7353,29
7374,28
7396,27
7417,26
7438,24
7460,23
7481,22
7502,21
7524,19
7545,17
7566,16
7588,14
7609,12
7630,10
7652,8
7673,7
7694,5
7716,3
7737,2
7758,-0
7780,-2
7801,-4
7822,-5
7844,-7
7886,-9
7908,-10
7929,-11
7993,-12
8014,-11
8078,-10
8164,-9
8206,-8
8313,-7
8569,-6
8590,-5
8612,-3
8633,-2
8654,1
8676,5
8697,9
8718,12
8740,15
8761,18
8782,20
8804,22
8825,23
8846,24
8868,26
8889,27
8910,28
8953,29
9081,28
9145,27
9230,26
9316,27
9444,28
9614,29
9700,28
10105,29
10169,30
10233,31
10297,32
10361,33
10404,34
10468,35
10510,37
10553,38
10574,39
10596,40
10638,41
10660,42
10681,43
10702,44
10745,45
10766,46
10809,47
10830,48
10852,49
10873,50
10894,51
10937,52
10958,53
11001,55
11044,56
11065,57
11086,58
11129,59
11150,60
11172,62
11193,63
11214,64
11236,65
11257,66
11278,68
11321,71
11342,72
11364,74
11385,75
11428,76
11449,77
11492,78
11534,77
11620,78
11726,79
11812,80
11833,81
11854,82
11897,83
11918,84
11940,85
11961,86
11982,87
12025,88
12046,89
12089,90
12132,91
12217,92
12324,91
12900,92
13070,93
13156,94
13262,95
13326,96
13348,97
13369,98
13412,99
13540,98
13561,97
13582,96
13625,95
13710,94
13753,93
13774,92
13796,91
13817,90
13838,89
13860,88
13881,87
13902,86
13924,84
13945,82
13988,81
14009,79
14030,77
14052,76
14073,75
14094,73
14116,71
14137,70
14158,68
14180,67
14201,66
14222,64
14244,61
14286,59
14308,57
14329,56
14350,55
14372,54
14393,53
14414,51
14436,50
14478,49
14500,47
14521,46
14542,45
14564,44
14585,43
14606,42
14628,41
14670,40
14692,39
14713,37
14734,36
14756,35
14777,34
14798,33
14820,31
14841,29
14862,27
14884,25
14905,24
14926,22
14948,20
14969,18
14990,16
15012,15
15033,12
15054,10
15076,8
15097,7
15118,5
15140,3
15161,2
15182,1
15204,0
15225,-1
15268,-2
15310,-3
15353,-4
15374,-5
15396,-6
15417,-7
15438,-8
15460,-9
15481,-10
15502,-11
15524,-13
15545,-14
15566,-16
15588,-17
15609,-18
15630,-20
15652,-21
15673,-23
15694,-25
15716,-26
15737,-28
15758,-29
15780,-30
15801,-32
15822,-33
15844,-35
15865,-36
15886,-37
15908,-38
15929,-39
15950,-40
15993,-41
16057,-42
16078,-41
16185,-40
16228,-41
16333,-42
16505,-41
16548,-40
16590,-39
16612,-38
16654,-37
16676,-36
16740,-35
16761,-34
16782,-33
16804,-32
16825,-31
16846,-30
16868,-28
16889,-27
16910,-25
16932,-24
16953,-22
16974,-19
16996,-17
17017,-16
17038,-13
17060,-11
17081,-9
17102,-6
17124,-5
17145,-1
17166,1
17188,4
17209,5
17230,8
17252,10
17273,13
17294,14
17316,17
17337,20
17358,22
17380,24
17401,25
17422,27
17444,28
17465,31
17508,33
17529,34
17550,35
17572,37
17614,38
17636,40
17657,41
17678,42
17700,43
17721,45
17742,46
17764,48
17785,50
17806,51
17828,53
17849,55
17870,56
17892,58
17913,60
17934,62
17956,64
17977,66
17998,68
18020,70
18041,72
18062,73
18084,75
18105,78
18126,82
18148,84
18169,85
18190,88
18212,90
18233,93
18254,94
18276,98
18297,100
18318,102
18340,104
18361,105
18382,107
18404,108
18425,110
18446,111
18468,112
18489,113
18510,114
18532,115
18574,116
18596,117
18617,118
18660,119
18681,120
18702,121
18724,122
18766,124
18788,125
18830,126
18852,127
18894,128
18916,129
18937,130
18980,131
19044,132
19065,133
19086,134
19129,135
19150,136
19172,138
19193,139
19214,140
19236,142
19257,144
19278,146
19300,147
19321,149
19342,150
19364,152
19385,154
19406,155
19428,156
19449,157
19470,158
19492,159
19534,160
19556,161
19577,162
19598,163
19641,164
19662,165
19684,166
19705,167
19726,168
19748,169
19769,170
19812,171
19833,172
19854,173
19876,174
19897,175
19918,176
19961,177
20004,178
20025,179
20068,180
20089,-180
20110,-179
20153,-178
20196,-177
20217,-176
20260,-175
20302,-174
20324,-173
20345,-172
20388,-171
20409,-170
20430,-169
20452,-168
20494,-167
20516,-166
20537,-165
20558,-163
20580,-162
20601,-161
20622,-160
20665,-158
20686,-157
20708,-156
20729,-155
20750,-154
20772,-153
20793,-152
20814,-151
20836,-150
20857,-149
20878,-148
20900,-147
20921,-146
20964,-145
20985,-144
21006,-143
21028,-142
21049,-141
21070,-140
21092,-139
21113,-138
21134,-137
21156,-136
21177,-135
21198,-133
21241,-131
21262,-130
21284,-128
21305,-126
21326,-125
21348,-123
21369,-121
21390,-119
21412,-118
21433,-116
21454,-115
21476,-114
21497,-113
21518,-112
21540,-111
21710,-112
21796,-111
21924,-110
22201,-111
22265,-110
22350,-111
22926,-112
23012,-113
23097,-114
23182,-115
23268,-116
23310,-117
23396,-118
23972,-119
24825,-118
25678,-119
26169,-118
26190,-119
26233,-118
27918,-119
27982,-120
28025,-121
28068,-122
28089,-123
28110,-124
28132,-125
28153,-126
28174,-128
28196,-129
28217,-131
28238,-133
28260,-135
28281,-138
28302,-139
28324,-142
28345,-146
28366,-149
28388,-151
28409,-155
28430,-158
28452,-162
28473,-165
28494,-169
28516,-173
28537,-177
28558,179
28580,177
28601,173
28622,169
28644,165
28665,162
28686,159
28708,156
28729,154
28750,152
28772,151
28793,149
28814,147
28836,146
28878,145
28900,144
28942,143
28985,142
29028,141
29092,140
29348,141
29433,142
29518,143
29924,144
30052,145
30094,146
30116,147
30137,148
30158,149
30180,150
30201,151
30222,153
30244,155
30265,157
30286,160
30308,163
30329,166
30350,169
30372,172
30393,174
30414,178
30436,-176
30457,-172
30478,-170
30500,-166
30521,-162
30542,-158
30564,-153
30585,-151
30606,-146
30628,-142
30649,-139
30670,-136
30692,-134
30713,-131
30734,-128
30756,-126
30777,-123
30798,-121
30820,-119
30841,-117
30862,-115
30884,-114
30905,-113
30926,-111
30948,-109
30990,-107
31012,-106
31033,-105
31054,-104
31076,-103
31097,-102
31118,-101
31140,-100
31182,-99
31204,-98
31246,-97
31289,-96
31332,-95
31566,-96
31652,-97
31694,-98
31993,-99
32355,-100
33145,-101
33358,-102
33422,-103
33593,-104
33678,-105
33721,-106
33764,-107
33785,-108
33828,-109
33849,-110
33892,-111
33913,-112
33956,-113
33998,-114
34041,-115
34084,-116
34148,-117
34340,-116
34404,-117
34510,-118
34553,-119
34617,-120
34660,-121
34681,-120
34702,-121
34724,-120
34852,-119
34937,-118
35086,-117
35321,-118
35684,-117
35748,-116
35790,-115
35940,-116
36089,-115
36153,-114
36196,-113
36238,-112
36281,-111
36302,-110
36366,-109
36409,-108
36686,-109
36708,-108
37348,-109
37476,-108
37646,-109
38414,-110
38500,-111
38564,-112
38628,-113
38798,-114
38884,-115
38948,-116
39033,-117
39076,-118
39140,-119
39204,-120
39268,-121
39332,-122
39353,-123
39396,-124
39417,-125
39438,-126
39481,-127
39502,-129
39524,-131
39545,-133
39566,-134
39588,-137
39609,-140
39630,-143
39652,-145
39673,-148
39694,-154
39716,-158
39737,-162
39758,-164
39780,-168
39801,-171
39822,-174
39844,-177
39865,-180
39886,178
39908,174
39929,173
39950,171
39972,170
39993,168
40014,167
40036,166
40057,165
40078,164
40100,163
40121,162
40164,160
40185,159
40228,157
40249,156
40270,155
40292,154
40313,152
40334,151
40356,149
40377,148
40398,146
40420,145
40441,144
40462,142
40484,140
40505,139
40526,137
40548,136
40569,135
40590,134
40612,133
40633,131
40654,130
40676,129
40697,128
40718,127
40740,126
40761,125
40782,124
40804,123
40846,122
40910,121
41017,122
41060,123
41124,124
41166,125
41230,126
41252,127
41294,130
41316,133
41337,136
41358,138
41380,141
41401,145
41422,148
41444,152
41465,155
41486,159
41508,162
41529,164
41550,167
41572,168
41593,170
41614,173
41636,175
41657,176
41678,179
41700,-179
41721,-177
41742,-176
41764,-175
41785,-174
41828,-175
41870,-176
41892,-178
41913,-179
41934,179
41956,177
41977,175
41998,173
42020,172
42041,170
42062,168
42084,167
42105,165
42126,164
42148,163
42169,162
42212,161
42254,160
42425,161
42809,162
42852,161
43001,160
43108,159
43364,158
43470,157
43534,156
43577,155
43641,154
43726,155
43876,156
43961,157
44174,156
44665,157
45113,158
45241,157
45390,156
46948,157
47012,158
47033,159
47054,160
47076,161
47097,162
47118,164
47140,167
47161,169
47182,170
47204,172
47225,174
47246,176
47268,178
47289,-180
47310,-178
47332,-176
47353,-174
47374,-173
47396,-172
47417,-170
47438,-168
47460,-165
47481,-164
47502,-162
47524,-160
47545,-157
47566,-156
47588,-154
47609,-150
47630,-148
47652,-147
47673,-145
47694,-142
47716,-140
47737,-138
47758,-136
47780,-135
47801,-133
47822,-131
47844,-130
47865,-129
47886,-128
47908,-126
47929,-125
47950,-124
47972,-123
47993,-122
48014,-121
48036,-120
48057,-119
48078,-118
48100,-117
48121,-116
48164,-115
48185,-114
48228,-113
48249,-112
48270,-111
48313,-110
48356,-109
48398,-108
48441,-107
48484,-106
48569,-105
48676,-104
48846,-105
48932,-106
48996,-107
49252,-108
49358,-109
49401,-110
49444,-111
49508,-112
49529,-113
49572,-114
49593,-115
49614,-116
49657,-117
49700,-118
49721,-119
49742,-120
49806,-121
49956,-120
50041,-119
50382,-120
50638,-119
50894,-120
51065,-119
51108,-120
51129,-119
51150,-120
51513,-121
51598,-120
51833,-121
52025,-122
52068,-121
52089,-122
52174,-121
52686,-120
52985,-119
53241,-120
53348,-121
53454,-122
53540,-121
54137,-120
54393,-121
54606,-120
54692,-121
54734,-120
54756,-121
54969,-120
55140,-119
55268,-118
55737,-117
55780,-116
55822,-115
55844,-114
55865,-113
55886,-111
55908,-110
55929,-108
55950,-107
55972,-106
55993,-104
56014,-103
56036,-102
56057,-100
56121,-99
56270,-100
56334,-101
56398,-102
56484,-103
56548,-104
56612,-105
56654,-106
56697,-108
56740,-109
56761,-110
56782,-111
56804,-112
56825,-113
56868,-115
56889,-116
56910,-117
56932,-118
56953,-119
56974,-120
56996,-122
57017,-124
57038,-125
57060,-126
57081,-128
57102,-130
57145,-132
57166,-134
57188,-136
57209,-137
57252,-138
57273,-139
57401,-138
57465,-137
57508,-136
57529,-135
57572,-134
57614,-133
57678,-132
57870,-131
58084,-132
58126,-133
58148,-134
58169,-136
58190,-137
58212,-138
58233,-140
58254,-141
58276,-142
58297,-143
58318,-144
58340,-145
58361,-146
58404,-147
58489,-146
58510,-145
58532,-144
58553,-143
58574,-141
58596,-139
58617,-137
58638,-132
58660,-131
58681,-127
58702,-124
58724,-120
58745,-118
58766,-114
58788,-110
58809,-104
58830,-101
58852,-99
58873,-96
58894,-92
58916,-90
58937,-88
58958,-86
58980,-82
59001,-79
59022,-77
59044,-76
59065,-74
59086,-72
59108,-70
59129,-68
59150,-67
59193,-66
59257,-67
59300,-68
59449,-67
59492,-66
59534,-65
59577,-64
59598,-63
59620,-62
59641,-61
59662,-60
59684,-59
59705,-58
59726,-57
59748,-56
59790,-55
59812,-54
59833,-53
59854,-52
59876,-51
59918,-50
59940,-48
59961,-47
60004,-46
60025,-45
60046,-44
60068,-43
60089,-42
60110,-41
60153,-40
60196,-39
60238,-38
60302,-39
60324,-40
60345,-41
60366,-43
60388,-45
60409,-47
60430,-52
60452,-55
60473,-57
60494,-61
60516,-65
60537,-68
60558,-72
60580,-74
60601,-79
60622,-81
60644,-84
60665,-85
60686,-87
60708,-88
60729,-89
60814,-88
60857,-87
60878,-86
60900,-85
60921,-82
60964,-80
60985,-79
61006,-77
61028,-76
61049,-75
61070,-73
61092,-72
61113,-71
61134,-70
61156,-68
61177,-66
61198,-64
61220,-62
61241,-59
61262,-57
61284,-54
61305,-52
61326,-51
61348,-49
61369,-46
61390,-44
61412,-41
61433,-40
61454,-39
61476,-37
61497,-35
61518,-34
61540,-32
61561,-29
61582,-28
61604,-27
61625,-26
61646,-24
61668,-23
61689,-22
61732,-20
61753,-19
61796,-18
61838,-17
61881,-16
61924,-15
