Time,Angle
1,-1
133,-2
261,-3
389,-4
475,-5
560,-6
624,-7
688,-8
709,-9
773,-10
816,-11
837,-12
880,-13
901,-14
923,-15
965,-16
987,-17
1007,-19
1029,-20
1051,-21
1072,-22
1093,-23
1115,-24
1136,-25
1157,-27
1179,-29
1221,-31
1243,-32
1264,-34
1285,-35
1307,-36
1328,-38
1349,-40
1371,-42
1392,-43
1413,-44
1435,-45
1456,-47
1477,-48
1520,-49
1541,-50
1584,-51
1627,-52
1691,-53
1733,-54
1776,-55
1819,-56
1840,-57
1883,-58
1925,-59
1947,-60
1989,-61
2032,-62
2096,-63
2203,-64
2309,-65
2437,-64
2608,-65
2693,-66
3077,-67
3440,-66
3568,-65
3632,-64
3760,-63
3803,-64
4123,-65
4187,-66
4208,-67
4251,-68
4272,-69
4293,-70
4315,-71
4336,-72
4379,-73
4400,-74
4421,-75
4464,-76
4507,-77
4549,-78
4592,-79
4656,-80
4699,-81
4741,-82
4848,-83
4891,-84
4976,-85
5040,-86
5083,-87
5104,-88
5125,-89
5168,-90
5189,-91
5211,-92
5232,-93
5253,-94
5275,-95
5296,-96
5339,-97
5360,-98
5381,-99
5403,-100
5424,-101
5445,-102
5467,-103
5488,-104
5531,-105
5552,-106
5616,-107
5723,-108
5787,-107
5872,-106
5957,-105
6064,-106
6235,-107
6363,-108
6427,-109
6491,-110
6597,-111
6811,-110
7003,-109
7067,-108
7109,-107
7173,-106
7216,-105
7280,-104
7365,-103
7493,-102
7643,-101
7685,-100
7728,-99
7771,-98
7813,-97
7835,-95
7856,-94
7920,-93
7941,-92
7984,-91
8027,-90
8069,-89
8112,-88
8155,-87
8197,-86
8261,-85
8325,-84
8389,-83
8453,-82
9136,-81
9243,-80
9285,-79
9392,-78
9541,-79
9947,-80
10565,-79
10672,-80
10779,-81
10843,-82
10949,-83
11077,-84
11141,-85
11205,-86
11269,-87
11312,-88
11355,-89
11376,-90
11397,-91
11440,-92
11461,-93
11483,-94
11504,-95
11547,-96
11568,-98
11589,-100
11632,-102
11653,-103
11675,-104
11696,-106
11717,-107
11739,-108
11760,-109
11781,-110
11824,-111
11867,-112
11909,-113
11973,-114
12016,-115
12037,-116
12059,-117
12080,-118
12123,-119
12144,-120
12165,-121
12208,-122
12229,-123
12272,-124
12357,-125
12443,-126
12485,-127
12635,-126
12763,-125
12827,-124
12912,-123
12997,-124
13104,-123
13360,-122
13467,-121
13509,-120
13573,-119
13616,-118
13680,-117
13979,-118
14149,-119
14192,-120
14256,-121
14277,-122
14320,-123
14341,-124
14363,-125
14405,-126
14427,-127
14448,-128
14491,-129
14512,-130
14533,-131
14555,-132
14597,-133
14619,-134
14640,-136
14683,-137
14704,-138
14725,-139
14747,-140
14789,-141
14811,-142
14832,-143
14875,-144
14896,-145
14917,-146
14960,-147
14981,-148
15024,-149
15067,-150
15109,-151
15131,-152
15301,-151
15344,-150
15387,-149
15429,-148
15451,-147
15472,-146
15515,-145
15557,-144
15600,-143
15643,-142
15685,-141
15728,-140
15749,-139
15771,-138
15835,-137
15920,-136
15963,-135
16027,-134
16091,-133
16261,-134
16453,-135
16709,-136
16773,-137
16859,-138
16987,-139
17221,-138
17563,-139
17712,-138
18885,-139
18992,-140
19013,-141
19056,-142
19099,-143
19141,-144
19184,-145
19205,-146
19227,-147
19248,-148
19291,-149
19312,-150
19333,-151
19355,-152
19376,-153
19397,-155
19419,-156
19440,-158
19461,-159
19483,-161
19504,-164
19525,-165
19547,-166
19568,-168
19589,-170
19611,-172
19632,-174
19653,-175
19675,-178
19696,180
19717,178
19739,177
19760,175
19781,173
19803,170
19824,168
19845,166
19867,164
19888,163
19909,161
19931,160
19952,158
19973,156
19995,153
20016,151
20037,150
20059,148
20080,146
20101,144
20144,142
20165,139
20187,138
20208,137
20229,135
20251,134
20272,133
20293,131
20315,130
20336,129
20357,128
20379,126
20421,124
20443,123
20464,122
20485,119
20528,117
20549,115
20571,114
20592,113
20613,112
20635,111
20656,108
20677,107
20699,106
20720,105
20741,103
20763,102
20784,100
20805,99
20827,97
20848,96
20869,95
20891,94
20912,93
20933,92
20976,91
20997,90
21019,89
21040,88
21125,87
21168,86
21211,85
21232,84
21275,83
21317,82
21339,83
21424,82
21467,81
21488,80
21573,79
21616,78
21680,77
21723,76
21872,77
21936,78
22000,79
22085,80
22107,81
22171,82
22213,83
22256,84
22277,85
22320,86
22363,87
22384,88
22405,89
22448,90
22469,91
22491,92
22512,93
22533,94
22555,96
22576,97
22597,99
22619,101
22640,103
22661,105
22683,107
22704,108
22725,110
22747,113
22768,115
22789,116
22811,118
22832,120
22853,122
22875,124
22896,125
22917,128
22939,130
22960,132
22981,133
23003,135
23024,137
23045,139
23067,141
23088,143
23109,146
23131,149
23152,151
23173,152
23195,155
23216,157
23237,160
23259,162
23280,163
23301,165
23323,167
23344,169
23365,170
23387,172
23408,175
23429,177
23451,179
23472,-179
23493,-177
23515,-174
23536,-172
23557,-170
23579,-168
23600,-166
23621,-163
23643,-161
23664,-160
23685,-158
23707,-157
23728,-154
23749,-153
23771,-152
23792,-150
23813,-149
23835,-148
23877,-147
23899,-146
23920,-145
23963,-144
24005,-143
24048,-142
24091,-141
24133,-140
24176,-139
24197,-138
24219,-137
24240,-136
24261,-135
24283,-134
24304,-133
24325,-132
24368,-130
24389,-129
24432,-128
24475,-127
24517,-126
24539,-125
24667,-126
24709,-127
24752,-128
24773,-129
24837,-130
24859,-131
24880,-132
24923,-133
25136,-132
25221,-133
25307,-134
25392,-135
25413,-134
25541,-133
25627,-132
25691,-131
25712,-130
25755,-129
25776,-128
25797,-126
25819,-124
25840,-121
25861,-120
25883,-118
25904,-115
25925,-113
25947,-111
25968,-108
25989,-104
26011,-101
26032,-98
26053,-97
26075,-93
26096,-91
26117,-90
26139,-88
26160,-87
26181,-86
26203,-85
26224,-84
26245,-83
26331,-84
26352,-85
26373,-86
26395,-88
26437,-90
26459,-94
26480,-97
26501,-98
26523,-102
26544,-105
26565,-109
26587,-112
26608,-114
26629,-118
26651,-121
26672,-123
26693,-124
26715,-125
26779,-124
26821,-123
26843,-121
26864,-120
26907,-118
26928,-117
26949,-115
26971,-114
26992,-113
27013,-111
27035,-110
27056,-109
27077,-108
27120,-107
27205,-108
27248,-109
27291,-108
27333,-109
27397,-108
27419,-109
27440,-110
27483,-111
27504,-112
27525,-113
27547,-114
27568,-115
27589,-117
27611,-118
27653,-119
27760,-118
27781,-117
27824,-116
27888,-115
28251,-116
28272,-115
28293,-116
28592,-117
28699,-118
28869,-119
28912,-120
28976,-121
29061,-122
29211,-123
29253,-124
29317,-125
29381,-126
29445,-127
29509,-126
30171,-125
30235,-124
30299,-123
30363,-122
30512,-123
30683,-124
30811,-123
31045,-124
31131,-125
31237,-124
31515,-123
31579,-122
31685,-123
31771,-124
31813,-126
31856,-127
31899,-128
31984,-127
32004,-126
32027,-125
32068,-124
32091,-123
32111,-122
32132,-121
32155,-120
32175,-119
32196,-118
32219,-117
32260,-115
32282,-114
32303,-112
32324,-111
32346,-110
32367,-108
32388,-106
32410,-104
32453,-102
32474,-100
32495,-99
32517,-98
32538,-97
32559,-96
32602,-95
32837,-96
32901,-97
32944,-98
32987,-99
33008,-100
33051,-101
33093,-102
33285,-101
33563,-100
34416,-101
37616,-102
37701,-103
37936,-102
38000,-101
38021,-100
38064,-99
38085,-98
38107,-96
38128,-95
38149,-93
38171,-92
38192,-91
38213,-90
38235,-89
38256,-88
38277,-87
38299,-86
38320,-85
38363,-84
38405,-83
38427,-82
38469,-81
38491,-80
38512,-79
38533,-78
38576,-77
38597,-76
38640,-75
38661,-74
38704,-73
38747,-72
38896,-73
38939,-74
38960,-75
38981,-76
39003,-77
39045,-78
39067,-80
39088,-81
39109,-82
39131,-84
39152,-85
39173,-87
39195,-89
39216,-90
39237,-92
39259,-94
39280,-96
39301,-97
39323,-99
39344,-101
39365,-103
39387,-104
39408,-105
39429,-106
39451,-108
39472,-109
39515,-110
39536,-111
39579,-112
39621,-113
39749,-114
39771,-113
39877,-112
39941,-111
40005,-110
40069,-109
40176,-108
40581,-107
41179,-108
41243,-109
41285,-110
41392,-111
41541,-112
41712,-113
41776,-114
41840,-115
41883,-116
41925,-117
41947,-118
42032,-119
42117,-120
42245,-121
42395,-122
42480,-123
42523,-124
42544,-125
42587,-126
42608,-127
42629,-129
42672,-130
42693,-132
42715,-133
42736,-134
42757,-135
42779,-136
42821,-137
42843,-138
42885,-139
42992,-138
43056,-137
43099,-136
43141,-135
