;V_PSNR;monolithic;monolithic_cubemap;tiles;viewport_dependent;tiles_partial;viewport_only;viewport_only_modified
Qual_1;31.261;1;0.973;0.531;0.587;0.407;0.131;0.192
Qual_2;32.214;1.378;1.311;0.748;0.816;0.574;0.183;0.269
Qual_3;33.166;1.88;1.751;1.043;1.122;0.802;0.253;0.377
Qual_4;34.119;2.543;2.321;1.441;1.531;1.11;0.348;0.511
Qual_5;35.071;3.412;3.051;1.975;2.069;1.523;0.473;0.695
Qual_6;36.024;4.542;3.983;2.683;2.775;2.07;0.638;0.938
Qual_7;36.976;6;5.162;3.614;3.694;2.79;0.854;1.234
a;;31.261;31.348;33.044;32.818;34.177;37.485;36.23
b;;0.0937;0.1006;0.0875;0.0913;0.0872;0.0902;0.0895
