;V_PSNR;monolithic;monolithic_cubemap;tiles;viewport_dependent;tiles_partial;viewport_only;viewport_only_modified
Qual_1;28.872;1;0.856;0.561;0.663;0.321;0.130;0.192
Qual_2;30.034;1.387;1.179;0.777;0.907;0.462;0.183;0.27
Qual_3;31.196;1.899;1.604;1.065;1.218;0.657;0.255;0.375
Qual_4;32.358;2.571;2.158;1.441;1.624;0.921;0.349;0.514
Qual_5;33.519;3.444;2.873;1.929;2.144;1.277;0.473;0.696
Qual_6;34.681;4.567;3.789;2.558;2.803;1.750;0.635;0.934
Qual_7;35.844;6;4.951;3.360;3.633;2.373;0.845;1.241
a;;28.872;29.432;30.961;30.423;32.161;36.481;34.954
b;;0.1207;0.1232;0.1208;0.1271;0.1302;0.1162;0.1158
